2018-02-27T11:07:46.986Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:07:46.989Z - info: #Iniciando request:  2018-02-27T11:07:46.987Z
2018-02-27T11:07:46.990Z - info: #Request Número:  0
2018-02-27T11:07:55.995Z - info: Ultima NSR processada:  000005956
2018-02-27T11:07:55.996Z - info: NSR calculada para início da leitura:  000005806
2018-02-27T11:07:55.996Z - info: Hora do readFile!
2018-02-27T11:07:56.001Z - info: Encontrou , ativando busca 
2018-02-27T11:07:56.003Z - info: Quantidade de marcações:  165
2018-02-27T11:07:56.003Z - info: hashMapSize:  65
2018-02-27T11:07:56.015Z - info: itemsProcessed:  65
2018-02-27T11:07:56.015Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:42.954Z - info: NSR calculada para início da leitura:  000001471
2018-02-27T11:08:42.954Z - info: Hora do readFile!
2018-02-27T11:08:42.957Z - info: Encontrou , ativando busca 
2018-02-27T11:08:42.958Z - info: Quantidade de marcações:  41
2018-02-27T11:08:42.958Z - info: hashMapSize:  20
2018-02-27T11:08:42.964Z - info: itemsProcessed:  20
2018-02-27T11:08:42.965Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:43.145Z - error: Funcionário não encontrado na base, PIS:  088888888884
2018-02-27T11:08:43.171Z - error: Funcionário não encontrado na base, PIS:  099999999990
2018-02-27T11:08:43.624Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:43.632Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:44.109Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:44.129Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:44.314Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:44.318Z - info: ## Apontamento atualizado com sucesso 2018-02-21T03:00:00.000Z
2018-02-27T11:08:44.320Z - info: ## Apontamento atualizado com sucesso 2018-02-21T03:00:00.000Z
2018-02-27T11:08:44.320Z - info: ## Apontamento atualizado com sucesso 2018-02-20T03:00:00.000Z
2018-02-27T11:08:44.447Z - info: ## Apontamento atualizado com sucesso 2018-02-21T03:00:00.000Z
2018-02-27T11:08:44.448Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:44.453Z - info: ## Apontamento atualizado com sucesso 2018-02-20T03:00:00.000Z
2018-02-27T11:08:44.455Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:44.456Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:44.486Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:44.486Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:44.487Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:44.493Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:44.496Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:50.366Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:08:50.370Z - info: #Iniciando request:  2018-02-27T11:08:50.368Z
2018-02-27T11:08:50.370Z - info: #Request Número:  0
2018-02-27T11:08:57.433Z - info: Ultima NSR processada:  000005490
2018-02-27T11:08:57.433Z - info: NSR calculada para início da leitura:  000005290
2018-02-27T11:08:57.433Z - info: Hora do readFile!
2018-02-27T11:08:57.439Z - info: Encontrou , ativando busca 
2018-02-27T11:08:57.441Z - info: Quantidade de marcações:  215
2018-02-27T11:08:57.441Z - info: hashMapSize:  76
2018-02-27T11:08:57.454Z - info: itemsProcessed:  76
2018-02-27T11:08:57.454Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:09:00.427Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:00.436Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.158Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.162Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.164Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.202Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.205Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.207Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.210Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.220Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.324Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.329Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.334Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.335Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.336Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.338Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.346Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.347Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.348Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:09:01.379Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:01.379Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.125Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.125Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.179Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.179Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.179Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.180Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.181Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.182Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.183Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.183Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.184Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.184Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.185Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.246Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.246Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:09:02.246Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:09:02.288Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.289Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:09:02.289Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
